,#account_id,first_pay_time,disputes_d30,disputed_d30,disputable_payment,game_types,long_sessions_ps_score_180,long_sessions_ps_score_210,long_sessions_ps_score_240,monetary_consumption_score,user_withdrawed,fluctuating_wagers,payment_methods_score,payment_methods_sequence,payment_impulsiveness_score,nightly_play,days_played_score,increasing_tolerance,losses_of_winning_score,time_comsumption
38819,10767075.0,2024-05-09 08:43:31.611,0,0.0,0.0,3,0,0,0,14.03,0,0.01,1,"[""checkout_credit_api""]",,1,1,0.0,,58.0
38820,10734580.0,2024-04-28 18:47:47.961,0,0.0,0.0,3,1,1,1,37.48,0,0.0,1,"[""checkout_apple_pay""]",0.0,1,2,0.0,0.75,25705.0
38824,10675046.0,2024-04-12 13:22:31.437,0,0.0,0.0,2,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,29.0
38826,10676924.0,2024-04-15 14:28:05.959,0,0.0,0.0,9,0,0,0,41.89,0,0.0,1,"[""checkout_credit_api""]",2.1063760348048017,1,2,0.0,1.0,6979.0
38830,10667840.0,2024-04-10 18:06:07.959,0,0.0,0.0,7,2,2,2,32.67,0,0.0,1,"[""checkout_apple_pay"",null]",8.009783080708239,1,6,0.0,1.0,233498.0
38834,10640839.0,2024-04-16 23:57:18.859,0,0.0,0.0,8,3,3,3,2.726,0,0.0,1,"[""checkout_credit_api""]",,1,10,0.0,1.0,260293.0
38835,10627275.0,2024-04-01 21:57:05.132,0,0.0,0.0,5,2,2,2,13.93,0,0.0,1,"[""checkout_apple_pay""]",5.99485129089955,1,4,0.0,,58005.0
38843,10773016.0,2024-05-11 14:34:29.073,0,0.0,0.0,4,0,0,0,9.379,0,,1,"[""checkout_apple_pay""]",,1,1,,0.0,345.0
38844,10677286.0,2024-04-13 02:03:57.888,0,0.0,0.0,1,0,0,0,32.67,0,0.0,1,"[""checkout_apple_pay""]",7.194643841080668,1,1,0.0,0.0,7115.0
38849,10735993.0,2024-04-29 04:54:11.432,0,0.0,0.0,1,1,1,0,4.61,0,0.0,1,"[""checkout_credit_api""]",,1,1,0.0,0.0,0.0
38857,10707801.0,2024-04-28 16:25:56.917,0,0.0,0.0,5,0,0,0,9.32,0,,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,327.0
38859,10699405.0,2024-05-07 13:57:06.960,0,0.0,0.0,20,2,2,2,3.5857,1,0.0,1,"[""checkout_apple_pay""]",1.3447049657824577,1,15,0.0,,87611.0
38864,10664593.0,2024-04-10 00:02:13.926,0,0.0,0.0,5,0,0,0,4.61,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,0.0,205.0
38870,10557415.0,2024-04-01 03:01:43.851,0,0.0,0.0,6,1,1,1,34.896,1,0.0,1,"[""checkout_credit_api""]",0.6280000000000001,1,13,0.0,0.0222222222222222,147234.0
38871,10661402.0,2024-04-09 06:19:01.579,0,0.0,0.0,2,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,
38874,10584507.0,2024-05-06 10:37:07.816,0,0.0,0.0,54,2,2,2,381.18,1,0.0,2,"[null,""checkout_apple_pay"",""checkout_credit_api""]",18.472476511000423,1,19,0.2,0.1666666666666666,222639.0
38876,10713429.0,2024-04-22 09:04:18.307,0,0.0,0.0,27,0,0,0,7.050000000000001,0,0.0,1,"[""paypal_wallet_slave""]",1.350573952066306,1,2,0.0,0.0,6514.0
38877,10688626.0,2024-04-15 22:16:51.399,0,0.0,0.0,7,1,1,1,49.626,0,0.0,1,"[""checkout_apple_pay""]",12.858673804090373,1,2,0.0,0.0,87581.0
38880,10743355.0,2024-05-01 10:27:14.724,0,0.0,0.0,18,4,4,4,85.36400000000002,1,0.0,1,"[null,""checkout_apple_pay""]",4.868238952389351,1,7,0.5,0.0681818181818181,220016.0
38896,10733820.0,2024-04-28 16:27:21.699,0,0.0,0.0,11,1,1,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0,240185.0
38898,10677328.0,2024-04-13 02:21:18.488,0,0.0,0.0,19,1,1,1,30.786,0,0.0,1,"[""checkout_apple_pay""]",8.048451528089114,1,1,0.0,0.0833333333333333,41253.0
38903,10760613.0,2024-05-06 23:45:06.530,0,0.0,0.0,1,1,1,1,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,0.0
38908,10749665.0,2024-05-03 15:05:03.341,0,0.0,0.0,18,1,0,0,59.046,0,0.0,1,"[""checkout_apple_pay""]",23.886712875571643,1,2,0.0,0.5,15897.0
38911,10743055.0,2024-05-01 05:24:07.284,0,0.0,0.0,16,4,3,2,89.62257999999999,0,0.0,1,"[""checkout_apple_pay""]",6.428910552055902,1,3,0.0,0.4,92154.0
38917,10710587.0,2024-05-04 03:02:36.240,0,0.0,0.0,8,5,5,5,214.718,0,0.0,2,"[""checkout_credit_api"",null,""checkout_apple_pay""]",13.822821408536958,1,6,1.6,1.0,352709.0
38921,10756364.0,2024-05-05 17:54:58.570,0,0.0,0.0,6,2,1,1,67.1895,0,0.0,1,"[""checkout_apple_pay"",null]",5.447235873381692,1,6,1.0,0.2,42803.0
38926,10715419.0,2024-04-22 23:18:54.420,0,0.0,0.0,1,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.1,,14.0
38934,10652233.0,2024-04-07 06:05:16.215,0,0.0,0.0,18,4,3,3,131.57999999999998,1,0.0,1,"[null,""checkout_apple_pay""]",32.49840248821031,1,5,0.1,0.0434782608695652,147383.0
38941,10689831.0,2024-04-16 02:41:26.686,0,0.0,0.0,4,1,1,1,37.48,0,0.0,1,"[""checkout_apple_pay""]",0.0,1,2,0.0,0.0,250529.0
38948,10745562.0,2024-05-06 05:17:15.461,0,0.0,0.0,20,9,9,9,178.22840000000002,0,0.0,1,"[""checkout_apple_pay"",null]",9.243844497244138,1,10,0.2,0.0149501661129568,510201.0
38949,10737318.0,2024-04-29 14:39:53.821,0,0.0,0.0,4,5,5,5,13.93,0,0.01,1,"[""checkout_apple_pay""]",3.3304729393886383,1,3,0.0,0.0,564544.0
38951,10721866.0,2024-04-25 02:15:45.744,0,0.0,0.0,1,0,0,0,14.03,0,0.09,1,"[""checkout_apple_pay""]",,1,1,0.0,,151.0
38953,10751262.0,2024-05-08 03:24:15.859,0,0.0,0.0,40,2,2,2,6.4176,0,0.0,1,"[""checkout_apple_pay""]",0.6827823079137304,1,9,0.0,0.0,97927.0
38957,10752770.0,2024-05-10 06:33:13.071,0,0.0,0.0,14,2,2,1,49.829221,0,0.0,1,"[""checkout_apple_pay""]",7.87033089293224,1,5,0.0,0.0114942528735632,62898.0
38958,10682026.0,2024-04-14 04:57:08.429,0,0.0,0.0,5,2,2,2,18.64,1,0.0,1,"[""checkout_apple_pay""]",0.0,1,2,0.0,0.2,246946.0
38962,10657833.0,2024-04-09 21:51:14.545,0,0.0,0.0,2,0,0,0,9.32,0,0.01,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,467.0
38963,10648837.0,2024-04-06 16:51:48.304,0,0.0,0.0,8,6,6,5,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,6,0.0,0.25,459553.0
38972,10710481.0,2024-05-07 02:55:25.306,0,0.0,0.0,10,0,0,0,9.32,0,0.04,1,"[""checkout_credit_api""]",,1,9,0.0,,287.0
38976,10457709.0,2024-05-03 08:18:40.324,0,0.0,0.0,17,5,5,5,31.828,0,0.0,1,"[""checkout_credit_api""]",9.325324230288189,1,83,0.0,0.0,417116.0
38977,10664154.0,2024-04-09 21:48:20.149,0,0.0,0.0,4,0,0,0,12.046,0,0.02,1,"[""checkout_apple_pay""]",4.662662115144094,1,2,0.0,,624.0
38982,10697683.0,2024-04-18 05:13:50.784,0,0.0,0.0,11,4,4,4,11.104,1,0.0,1,"[""checkout_apple_pay""]",5.328756703021822,1,7,0.6,0.0,245267.0
38985,10735994.0,2024-05-01 04:03:38.611,0,0.0,0.0,2,0,0,0,2.726,0,,1,"[""checkout_apple_pay""]",,1,2,0.0,,0.0
38986,10510289.0,2024-05-03 01:48:29.113,0,0.0,0.0,16,1,1,1,4.51,0,0.01,1,"[""checkout_apple_pay"",null]",1.5886447054014312,1,15,33.6,,102571.0
38987,10473506.0,2024-05-04 20:04:54.420,0,0.0,0.0,3,0,0,0,0.842,0,,1,"[""checkout_apple_pay""]",,1,2,0.0,,98.0
38992,10635692.0,2024-04-03 23:00:59.012,0,0.0,0.0,13,3,3,2,28.06,1,0.0,1,"[null,""checkout_credit_api""]",6.619716341690514,1,6,0.2,0.0737704918032786,96568.0
38999,10663934.0,2024-04-30 07:05:13.759,0,0.0,0.0,27,3,3,3,57.504,0,0.0,2,"[""checkout_credit_api"",""checkout_apple_pay"",null]",5.178283464273044,1,16,0.1,1.0,126109.0
39001,10601498.0,2024-05-01 03:43:13.786,0,0.0,0.0,11,1,1,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,11,0.0,,82974.0
39002,10703340.0,2024-04-19 22:53:15.630,0,0.0,0.0,12,2,2,2,35.495999999999995,1,0.01,1,"[""checkout_apple_pay"",null]",8.312222807408377,1,5,0.5,0.0,109404.0
39008,10714166.0,2024-04-22 16:54:43.546,0,0.0,0.0,70,2,1,1,83.23799999999999,0,0.0,1,"[""checkout_apple_pay"",null]",8.966109010363095,1,7,0.1,0.2340425531914893,175592.0
39012,10702104.0,2024-04-19 16:38:25.238,0,0.0,0.0,1,0,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,0.0
39014,10706778.0,2024-04-20 20:15:56.875,0,0.0,0.0,14,2,2,2,5.452,0,0.0,1,"[""checkout_apple_pay""]",1.3321891757554556,1,6,0.0,0.0,47138.0
39020,10647956.0,2024-04-06 10:55:01.065,0,0.0,0.0,21,3,3,3,510.306,0,0.0,1,"[null,""checkout_apple_pay""]",21.91798091285595,1,5,0.5,0.2152777777777778,323275.0
39024,10645052.0,2024-04-08 15:54:17.290,0,0.0,0.0,25,7,7,7,47.0,0,0.0,1,"[""checkout_credit_api""]",,1,6,0.0,0.0,294770.0
39025,10746123.0,2024-05-02 05:17:09.562,0,0.0,0.0,10,3,3,3,7.336,0,0.0,1,"[null,""checkout_apple_pay""]",1.0942683515922602,1,4,8.3,0.0,452382.0
39037,10640004.0,2024-04-04 18:35:21.745,0,0.0,0.0,1,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,0.0
39040,10753927.0,2024-05-11 01:52:14.680,0,0.0,0.0,13,1,1,1,2.7437,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,,499975.0
39043,10631168.0,2024-04-02 19:33:07.251,6,34.254,34.254,14,1,1,1,34.254,0,0.0,1,"[""checkout_apple_pay""]",3.7404240936022215,1,3,0.0,0.0,170966.0
39044,10770576.0,2024-05-10 16:55:38.943,0,0.0,0.0,5,0,0,0,5.4874,0,0.0,1,"[""checkout_apple_pay""]",1.3405330357734568,1,3,0.0,,17818.0
39049,10641011.0,2024-04-04 22:51:27.686,0,0.0,0.0,1,0,0,0,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,0.0,499.0
39060,10750522.0,2024-05-03 21:05:22.310,0,0.0,0.0,2,1,1,1,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,50764.0
39065,10763787.0,2024-05-08 02:13:46.901,0,0.0,0.0,58,6,5,5,64.71039999999999,1,0.0,1,"[null,""checkout_apple_pay""]",8.961641173675405,1,7,1.1,0.0,244363.0
39069,10662181.0,2024-04-09 14:14:07.568,0,0.0,0.0,5,1,1,1,4.61,0,0.01,1,"[""checkout_credit_api""]",,1,3,0.0,0.0666666666666666,225193.0
39073,10716414.0,2024-04-23 03:52:51.510,0,0.0,0.0,21,7,6,6,319.38,0,0.0,2,"[null,""checkout_credit_api"",""checkout_apple_pay""]",20.37085540493762,1,8,1.4,0.1176470588235294,367793.0
39074,10738377.0,2024-04-30 18:40:21.208,0,0.0,0.0,4,0,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,366.0
39075,10620084.0,2024-04-01 18:42:15.964,0,0.0,0.0,20,4,4,3,511.9320000000001,1,0.0,2,"[""checkout_apple_pay"",null,""checkout_credit_api""]",15.68860358760563,1,9,0.1,0.0764705882352941,371840.0
39083,10708416.0,2024-04-21 03:57:09.237,0,0.0,0.0,4,1,0,0,18.63058,0,0.0,1,"[""checkout_apple_pay""]",0.0066609458787782,1,3,0.0,0.0,27045.0
39087,10671791.0,2024-04-11 16:40:39.049,0,0.0,0.0,3,0,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,53.0
39089,10226394.0,2024-05-05 05:32:53.807,0,0.0,0.0,49,1,1,1,9.2613,1,0.0,1,"[null,""checkout_credit_api""]",3.092911393681796,1,117,0.4,0.0,147289.0
39093,10640502.0,2024-04-04 20:43:44.927,0,0.0,0.0,23,2,2,2,51.00058,1,0.0,1,"[""checkout_apple_pay""]",3.0795639045244703,1,6,0.0,0.0,148162.0
39104,10748081.0,2024-05-05 22:35:28.678,0,0.0,0.0,9,4,4,4,4.61,0,0.0,1,"[""checkout_credit_api""]",,1,7,0.0,0.0,188182.0
39105,10625798.0,2024-04-01 15:23:49.883,0,0.0,0.0,5,1,1,1,37.48,0,0.0,1,"[null,""checkout_credit_api""]",5.514150234973002,1,3,0.1,1.0,64972.0
39106,10582400.0,2024-04-16 20:32:06.363,0,0.0,0.0,11,2,2,2,11.004,0,0.0,1,"[null,""checkout_apple_pay""]",1.14622518098201,1,9,0.1,0.0,101414.0
39113,10656537.0,2024-04-08 04:36:28.990,0,0.0,0.0,18,3,3,3,2.726,0,0.0,1,"[null,""checkout_apple_pay""]",1.9275730855145288,1,6,0.0,0.0,142065.0
39114,10648459.0,2024-04-11 19:23:51.123,0,0.0,0.0,1,0,0,0,3.568,0,,1,"[""checkout_apple_pay""]",1.3321891757554556,1,1,,,0.0
39120,10717946.0,2024-04-23 21:18:36.857,0,0.0,0.0,13,2,2,2,4.61,0,0.01,1,"[""checkout_apple_pay""]",,1,5,0.0,0.0,128720.0
39121,10642030.0,2024-04-11 01:57:35.494,0,0.0,0.0,30,5,4,4,65.74,1,0.0,1,"[""checkout_credit_api""]",19.982837636331837,1,7,0.0,0.0833333333333333,317578.0
39122,10705019.0,2024-04-20 06:23:53.356,0,0.0,0.0,13,3,3,3,2.57,0,0.0,1,"[""paypal_wallet_slave""]",,1,5,0.0,0.0,319401.0
39125,10628414.0,2024-04-03 03:06:49.110,0,0.0,0.0,7,2,2,2,18.74,1,0.0,1,"[""checkout_credit_api"",null]",13.2511810794359,1,4,3.0,0.2727272727272727,284823.0
39130,10733473.0,2024-04-28 06:40:25.584,0,0.0,0.0,6,0,0,0,32.56058,0,0.01,1,"[""checkout_apple_pay""]",7.819641710724347,1,2,0.0,0.0,1050.0
39133,10633532.0,2024-04-03 04:20:46.518,0,0.0,0.0,27,3,3,3,27.86,0,0.0,1,"[""checkout_apple_pay""]",5.781353128809898,1,5,0.0,0.0,131675.0
39136,10634017.0,2024-04-07 06:37:46.988,0,0.0,0.0,2,0,0,0,0.66,0,0.01,1,"[""paypal_wallet_slave""]",,1,2,0.0,,234.0
