,#account_id,first_pay_time,disputes_d30,disputed_d30,disputable_payment,game_types,long_sessions_ps_score_180,long_sessions_ps_score_210,long_sessions_ps_score_240,monetary_consumption_score,user_withdrawed,fluctuating_wagers,payment_methods_score,payment_methods_sequence,payment_impulsiveness_score,nightly_play,days_played_score,increasing_tolerance,losses_of_winning_score,time_comsumption
18372,10620537.0,2024-04-24 01:50:22.298,0,0.0,0.0,6,2,2,2,12.788,0,0.0,1,"[""checkout_apple_pay""]",1.2161167707091292,1,6,0.0,,192089.0
18376,10687163.0,2024-04-16 00:13:34.295,0,0.0,0.0,7,5,4,4,18.64,1,0.0,1,"[""checkout_apple_pay""]",0.0,1,7,0.0,0.015625,323421.0
18381,10662760.0,2024-04-19 03:54:23.275,0,0.0,0.0,3,1,1,1,5.452,0,0.01,1,"[""checkout_apple_pay""]",2.664378351510912,1,3,0.0,,0.0
18386,10758995.0,2024-05-08 11:47:11.793,0,0.0,0.0,12,10,10,10,50.6512,0,0.0,2,"[""checkout_apple_pay"",""checkout_credit_api"",null]",9.07449801083076,1,9,6.0,0.0258620689655172,477492.0
18390,10687539.0,2024-04-20 20:06:42.921,0,0.0,0.0,33,2,2,2,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,,74322.0
18396,10642852.0,2024-04-05 06:47:17.161,0,0.0,0.0,5,0,0,0,2.726,1,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,2176.0
18397,10736988.0,2024-04-29 10:25:24.399,0,0.0,0.0,6,1,1,1,6.394,0,,1,"[""checkout_apple_pay""]",0.6660945878777279,1,2,0.0,0.0,436499.0
18399,10739408.0,2024-04-30 02:08:33.685,0,0.0,0.0,4,2,2,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,1.0,45361.0
18407,10675808.0,2024-04-12 18:54:55.162,0,0.0,0.0,1,0,0,0,7.336,0,0.01,1,"[""checkout_apple_pay""]",0.0,1,2,0.0,,520340.0
18411,10734682.0,2024-05-02 01:53:14.430,0,0.0,0.0,25,2,2,2,0.842,1,0.0,1,"[""checkout_apple_pay""]",,1,8,0.2,,343991.0
18414,10599473.0,2024-04-17 03:20:00.769,0,0.0,0.0,13,6,6,6,4.61,0,0.0,1,"[null,""checkout_apple_pay""]",3.259762261269984,1,19,0.2,0.0,282564.0
18416,10174418.0,2024-04-14 21:22:15.784,0,0.0,0.0,19,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,31,0.1,0.0,24003.0
18426,10654287.0,2024-04-25 05:08:43.988,0,0.0,0.0,6,5,5,5,5.452,0,0.0,1,"[""checkout_apple_pay""]",1.3321891757554558,1,10,0.0,0.0,438591.0
18429,10727635.0,2024-04-26 15:39:21.648,0,0.0,0.0,34,6,6,6,39.906,0,0.0,1,"[null,""checkout_apple_pay""]",3.06502295752556,1,6,0.4,0.0092059838895281,571429.0
18434,10771132.0,2024-05-10 20:49:56.385,0,0.0,0.0,9,2,2,2,2.7437,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,,125078.0
18437,10682891.0,2024-04-19 09:48:00.975,0,0.0,0.0,6,0,0,0,2.726,0,0.0,1,"[""checkout_credit_api""]",,1,2,0.0,,1147.0
18438,10652262.0,2024-04-16 00:08:43.744,0,0.0,0.0,5,7,7,7,3.568,0,0.02,1,"[""checkout_apple_pay"",null]",1.3957970244033813,1,13,1.8,0.0022471910112359,376710.0
18441,10643960.0,2024-04-05 16:31:49.198,0,0.0,0.0,37,0,0,0,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,7511.0
18442,10701536.0,2024-04-28 19:16:38.595,0,0.0,0.0,2,0,0,0,0.842,0,0.02,1,"[""checkout_apple_pay""]",,1,2,0.0,,75.0
18450,10764145.0,2024-05-11 02:05:57.237,0,0.0,0.0,22,1,1,1,50.6866,1,0.0,1,"[""checkout_apple_pay""]",5.461746827893069,1,4,0.0,0.1072961373390558,151377.0
18453,10725159.0,2024-04-25 21:03:31.165,0,0.0,0.0,2,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,10.0
18454,10711989.0,2024-04-22 00:52:31.562,0,0.0,0.0,2,0,0,0,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,66.0
18458,10723503.0,2024-04-25 04:48:31.860,0,0.0,0.0,7,2,1,1,4.61,0,0.0,1,"[""checkout_credit_api""]",,1,5,0.0,0.3333333333333333,111557.0
18475,10678596.0,2024-04-13 12:20:30.233,0,0.0,0.0,3,1,1,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,89393.0
18482,10502576.0,2024-04-16 01:39:45.252,0,0.0,0.0,13,3,2,2,18.74,0,0.0,1,"[""checkout_apple_pay""]",,1,17,0.0,,258125.0
18490,10761290.0,2024-05-07 08:59:40.074,0,0.0,0.0,38,2,2,2,67.26559999999999,1,0.0,1,"[""checkout_apple_pay""]",5.593614153572592,1,3,0.0,0.0,220875.0
18491,10671219.0,2024-04-11 10:50:00.424,0,0.0,0.0,12,3,3,2,28.06,0,0.0,1,"[""checkout_apple_pay""]",6.660945878777277,1,2,0.0,,107121.0
18495,10624471.0,2024-04-01 04:27:16.009,0,0.0,0.0,17,1,1,1,135.19,0,0.0,1,"[null,""checkout_apple_pay""]",4.33452718959934,1,5,1.9,0.4,53105.0
18497,10172733.0,2024-04-01 17:23:15.872,0,0.0,0.0,1,0,0,0,2.726,0,,1,"[""checkout_apple_pay""]",,1,1,0.0,,
18500,10757704.0,2024-05-06 11:58:39.093,0,0.0,0.0,10,0,0,0,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0043859649122807,6399.0
18504,10657133.0,2024-04-10 19:03:29.200,0,0.0,0.0,3,0,0,0,6.394,0,0.0,1,"[""checkout_apple_pay"",null]",1.904934994516436,1,7,0.7,0.0,15475.0
18505,10752406.0,2024-05-04 12:04:49.287,0,0.0,0.0,4,0,0,0,13.93,0,0.01,1,"[""checkout_credit_api""]",3.3304729393886383,1,1,0.0,0.0,12597.0
18507,10767444.0,2024-05-09 15:16:54.200,0,0.0,0.0,52,4,4,4,75.9504,1,0.0,2,"[""checkout_apple_pay"",""checkout_credit_api""]",6.994988600419588,1,7,0.0,0.0111358574610244,249963.0
18511,10623667.0,2024-04-01 01:26:48.659,0,0.0,0.0,8,2,2,2,27.86,0,0.01,1,"[""checkout_apple_pay""]",2.7193197678831376,1,2,0.0,0.0131578947368421,83683.0
18513,10652611.0,2024-04-07 20:28:57.668,0,0.0,0.0,30,1,1,1,10.062,1,0.0,1,"[""checkout_credit_api""]",0.5438639535766275,1,5,0.0,0.0,52502.0
18517,10635370.0,2024-04-03 17:50:52.951,0,0.0,0.0,1,1,1,1,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,3,0.0,,127.0
18519,10611974.0,2024-04-04 01:02:18.922,0,0.0,0.0,29,3,3,3,69.65,0,0.0,1,"[""checkout_apple_pay""]",3.614411432031501,1,7,0.0,0.0006736274840013,152680.0
18522,10664901.0,2024-04-10 00:57:21.632,0,0.0,0.0,5,2,2,2,55.27799999999999,0,0.0,1,"[""checkout_apple_pay"",null]",11.529210687062086,1,4,2.0,0.0,299809.0
18523,10725564.0,2024-05-02 20:46:33.475,0,0.0,0.0,4,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,,1428.0
18526,10663465.0,2024-04-09 19:42:25.962,0,0.0,0.0,9,2,2,2,46.8,0,0.0,1,"[""checkout_apple_pay"",null]",5.508797706751723,1,4,0.3,1.0,367290.0
18527,10676628.0,2024-04-18 02:56:16.630,0,0.0,0.0,26,3,3,3,13.93,0,0.0,1,"[""checkout_credit_api""]",5.99485129089955,1,11,0.0,0.0,210549.0
18528,10721847.0,2024-04-24 20:55:31.069,0,0.0,0.0,7,3,3,3,16.656,0,0.0,1,"[""checkout_apple_pay""]",3.396429301487078,1,5,0.0,0.0,326691.0
18532,10650913.0,2024-04-07 01:04:42.286,0,0.0,0.0,5,0,0,0,18.74,0,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,,403.0
18534,10434582.0,2024-04-23 03:43:37.301,0,0.0,0.0,19,0,0,0,9.32,0,0.0,1,"[""checkout_credit_api""]",,1,63,0.2,0.0,5727.0
18545,10678742.0,2024-04-14 21:47:21.178,0,0.0,0.0,6,1,1,1,9.32,0,0.01,1,"[""checkout_credit_api""]",,1,3,0.0,,74985.0
18549,10732606.0,2024-05-01 13:07:10.730,0,0.0,0.0,51,7,6,6,12.046,1,0.0,1,"[""checkout_credit_api""]",4.662662115144094,1,9,0.0,0.2040816326530612,478835.0
18551,10760344.0,2024-05-06 22:30:47.448,0,0.0,0.0,21,3,3,3,57.6046,1,0.0,1,"[""checkout_apple_pay""]",2.5566882863927263,1,5,0.0,0.0022883295194508,322962.0
18552,10641582.0,2024-04-05 01:12:17.200,0,0.0,0.0,4,1,1,1,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,83993.0
18554,10611571.0,2024-04-17 06:05:50.351,0,0.0,0.0,2,0,0,0,2.726,0,0.17,1,"[""checkout_apple_pay""]",,1,2,0.0,,228.0
18556,10625935.0,2024-04-01 23:04:10.616,0,0.0,0.0,17,1,1,1,28.16,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.2692307692307692,52746.0
18562,10444371.0,2024-04-03 01:31:15.688,0,0.0,0.0,5,0,0,0,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,848.0
18563,10672116.0,2024-04-11 18:59:27.011,0,0.0,0.0,3,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,1532.0
18568,10737507.0,2024-04-29 15:52:13.200,0,0.0,0.0,12,0,0,0,65.63058,1,0.0,1,"[""checkout_apple_pay""]",5.433200896230511,1,2,0.0,0.0,8474.0
18569,10635380.0,2024-04-04 23:45:55.516,0,0.0,0.0,9,1,1,1,12.03658,1,0.01,1,"[""checkout_apple_pay""]",4.656001169265317,1,7,0.1,0.0,28635.0
18570,10645981.0,2024-04-06 01:35:40.409,0,0.0,0.0,21,1,1,1,37.48,0,0.0,1,"[""checkout_apple_pay""]",0.0,1,1,0.0,0.0,47856.0
18577,10351131.0,2024-05-03 04:47:13.481,0,0.0,0.0,21,2,2,2,4.61,0,0.0,1,"[""checkout_credit_api""]",,1,16,0.0,0.0,131827.0
18584,10707694.0,2024-04-21 00:46:07.050,0,0.0,0.0,8,0,0,0,9.22,0,0.0,1,"[""checkout_apple_pay""]",0.0,1,7,0.6,,44282.0
18600,10584520.0,2024-04-03 06:44:16.265,0,0.0,0.0,7,0,0,0,14.03,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.1428571428571428,4754.0
18601,10721585.0,2024-05-04 15:52:14.706,0,0.0,0.0,5,8,7,6,146.252,0,0.0,1,"[null,""checkout_credit_api""]",9.202713754683389,1,9,0.6,0.3736263736263736,253319.0
18608,10702307.0,2024-04-20 13:51:04.878,0,0.0,0.0,13,2,1,1,12.046,0,0.0,1,"[""checkout_credit_api""]",4.662662115144095,1,4,0.0,1.0,36765.0
18619,10671538.0,2024-04-11 14:57:53.624,0,0.0,0.0,6,9,8,6,3435.51,1,0.0,1,"[""checkout_credit_api""]",5.901782405982752,1,6,0.0,0.2707006369426751,420211.0
18623,10656767.0,2024-04-10 04:21:34.523,0,0.0,0.0,7,0,0,0,7.336,0,0.0,1,"[null,""checkout_apple_pay""]",2.116589048445636,1,5,0.9,0.0,2150.0
18626,10705001.0,2024-04-23 06:49:07.981,0,0.0,0.0,17,4,4,4,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,7,0.0,0.0,249245.0
18627,10531599.0,2024-04-10 05:01:23.358,0,0.0,0.0,6,0,0,0,0.842,0,0.02,1,"[""checkout_apple_pay""]",,1,4,0.0,,0.0
18629,10651962.0,2024-04-07 04:43:51.911,0,0.0,0.0,15,6,6,6,22.95,1,0.01,1,"[""checkout_apple_pay"",null]",2.0129645351521277,1,6,0.5,0.0,363154.0
18632,10628199.0,2024-04-02 01:58:58.140,0,0.0,0.0,10,0,0,0,28.06,0,0.0,1,"[""checkout_apple_pay""]",6.660945878777277,1,2,0.0,0.0,31161.0
18639,10630191.0,2024-04-07 21:29:40.989,0,0.0,0.0,3,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,986.0
18651,10636495.0,2024-04-03 23:40:33.091,0,0.0,0.0,7,0,0,0,1.784,0,0.0,1,"[""checkout_credit_api""]",,1,2,0.0,0.0,3853.0
18655,10758069.0,2024-05-06 02:03:03.902,0,0.0,0.0,2,2,2,2,16.756,0,0.0,1,"[""checkout_apple_pay""]",7.993135054532733,1,3,0.0,0.0,94953.0
18656,10675668.0,2024-04-12 18:07:11.893,0,0.0,0.0,1,0,0,0,4.61,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,
18661,10691045.0,2024-04-16 11:27:24.167,0,0.0,0.0,4,0,0,0,1.784,1,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,0.0,4556.0
18665,10275845.0,2024-04-14 03:42:06.745,0,0.0,0.0,9,0,0,0,10.162,0,0.01,1,"[""checkout_apple_pay""]",5.99485129089955,1,6,0.0,,2845.0
18674,10693579.0,2024-04-18 10:36:23.181,6,49.286,49.286,18,4,4,4,235.09799999999996,1,0.0,2,"[null,""paypal_wallet_slave"",""checkout_apple_pay""]",6.539251162050137,1,8,1.2,0.0384615384615384,167808.0
18676,10673876.0,2024-04-12 03:49:38.480,0,0.0,0.0,19,2,2,1,4.51,0,0.0,1,"[""checkout_credit_api""]",0.6660945878777277,1,7,0.0,0.0,100658.0
18682,10663138.0,2024-04-25 05:26:00.735,0,0.0,0.0,2,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,0.0
18688,10772706.0,2024-05-11 08:24:13.928,0,0.0,0.0,4,3,3,3,1.7958,0,0.01,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,192683.0
18690,10723650.0,2024-04-25 17:53:56.915,0,0.0,0.0,5,1,1,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,177708.0
18700,10733064.0,2024-05-03 01:05:13.326,0,0.0,0.0,3,0,0,0,0.842,0,0.02,1,"[""checkout_apple_pay""]",,1,2,0.0,,129683.0
18703,10685494.0,2024-04-15 02:11:45.976,0,0.0,0.0,1,0,0,0,34.454,0,0.01,1,"[""checkout_apple_pay""]",7.432254637726023,1,1,0.0,,
18706,10627953.0,2024-04-02 00:27:31.029,0,0.0,0.0,21,3,3,3,23.25,0,0.0,1,"[""checkout_apple_pay"",null]",4.466030116333744,1,3,0.0,0.125,337453.0
18709,10759182.0,2024-05-06 14:08:05.013,0,0.0,0.0,5,2,2,2,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0053191489361702,68121.0
18711,10735129.0,2024-04-28 21:43:41.361,0,0.0,0.0,5,0,0,0,2.726,0,0.02,1,"[""checkout_apple_pay""]",,1,1,0.0,,380.0
18714,10721798.0,2024-04-24 20:41:48.740,0,0.0,0.0,10,2,2,2,75.58,0,0.0,1,"[""paypal_wallet_slave""]",5.519468573452822,1,4,0.0,0.1111111111111111,277423.0
18718,10360641.0,2024-04-26 09:22:11.316,0,0.0,0.0,10,0,0,0,0.842,0,0.12,1,"[""checkout_apple_pay""]",,1,5,0.0,,247.0
18721,10715342.0,2024-04-22 23:00:32.226,0,0.0,0.0,21,1,1,1,13.83,0,0.0,1,"[""checkout_apple_pay""]",4.106082804815316,1,4,0.4,,21966.0
18724,10687879.0,2024-04-15 18:32:05.825,0,0.0,0.0,14,7,7,7,141.142,0,0.0,1,"[""checkout_apple_pay""]",6.859039720756039,1,5,0.0,0.25,291299.0
18726,10720302.0,2024-04-24 05:32:43.959,0,0.0,0.0,6,2,2,2,13.93,0,0.01,2,"[""checkout_apple_pay"",null,""checkout_credit_api""]",4.851590254751528,1,3,14.9,,283787.0
18727,10653687.0,2024-04-07 17:32:29.674,0,0.0,0.0,2,1,1,1,1.784,0,0.08,1,"[""checkout_apple_pay""]",,1,2,0.0,,102632.0
18729,10651715.0,2024-04-07 22:37:07.705,0,0.0,0.0,31,3,3,3,209.79858,1,0.0,1,"[null,""checkout_apple_pay""]",7.703008831812436,1,7,0.0,0.180722891566265,158553.0
18730,10758846.0,2024-05-06 07:41:45.430,0,0.0,0.0,3,0,0,0,32.77,0,0.04,1,"[""checkout_apple_pay""]",3.3304729393886388,1,1,0.0,,352.0
18731,10672545.0,2024-04-11 21:25:43.200,0,0.0,0.0,19,1,1,1,13.829999999999998,1,0.0,1,"[""checkout_apple_pay""]",1.8839999999999997,1,3,0.0,0.0,29281.0
18732,10724320.0,2024-04-25 16:14:40.220,0,0.0,0.0,16,1,1,1,9.31058,0,,1,"[""checkout_credit_api""]",,1,2,0.0,0.0,47761.0
18734,10098217.0,2024-04-29 17:17:53.091,0,0.0,0.0,47,3,2,2,994.34974,1,0.0,2,"[""checkout_apple_pay"",""checkout_credit_api""]",23.871431807990383,1,11,0.0,0.0777479892761394,121643.0
18735,10673011.0,2024-04-11 23:56:20.074,0,0.0,0.0,3,4,4,4,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,406430.0
18738,10618980.0,2024-04-04 20:02:58.204,0,0.0,0.0,13,3,3,3,68.908,0,0.0,1,"[null,""checkout_apple_pay""]",2.6691058198431423,1,6,7.9,0.8,450819.0
18743,10738741.0,2024-05-02 20:18:32.984,0,0.0,0.0,19,6,5,4,43.274,0,0.0,1,"[""checkout_apple_pay"",null]",2.1744678429445674,1,11,0.1,0.0204081632653061,191057.0
18749,10631706.0,2024-04-02 21:38:19.643,0,0.0,0.0,1,0,0,0,1.784,0,0.04,1,"[""checkout_apple_pay""]",,1,1,0.0,,
18750,10689262.0,2024-04-17 09:08:16.664,0,0.0,0.0,15,2,2,2,44.516,0,0.0,1,"[""checkout_apple_pay"",null]",3.912192625990845,1,5,0.3,,215557.0
18755,10739898.0,2024-05-09 18:16:43.351,0,0.0,0.0,4,0,0,0,7.3537,0,0.0,1,"[""checkout_apple_pay""]",1.319673385728454,1,4,0.0,,2236.0
18761,10392084.0,2024-04-18 13:45:18.746,0,0.0,0.0,17,6,5,4,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,42,0.0,0.0,220618.0
18762,10675535.0,2024-04-12 17:07:10.691,0,0.0,0.0,33,2,2,2,128.696,1,0.0,2,"[""checkout_credit_api"",""checkout_apple_pay""]",5.553520255726922,1,8,0.0,0.0363636363636363,177755.0
18766,10655173.0,2024-04-07 23:34:35.121,0,0.0,0.0,6,2,2,2,1.784,0,0.0,1,"[""checkout_apple_pay"",null]",1.2614784976368008,1,3,0.3,0.0,258410.0
18769,10685838.0,2024-04-15 03:13:09.346,0,0.0,0.0,18,2,2,2,26.71,1,0.0,2,"[""paypal_wallet_slave"",""checkout_apple_pay""]",3.049397481470724,1,3,0.0,0.0127388535031847,90695.0
18782,10708200.0,2024-05-06 23:44:21.558,0,0.0,0.0,5,0,0,0,0.842,0,,1,"[""checkout_apple_pay""]",,1,4,0.0,,183.0
18788,10723247.0,2024-04-25 17:35:59.312,0,0.0,0.0,1,2,2,2,37.48,0,0.01,2,"[""checkout_apple_pay"",""checkout_credit_api""]",0.0,1,2,0.1,1.0,89299.0
18789,10448520.0,2024-05-07 01:56:19.501,0,0.0,0.0,3,0,0,0,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,172.0
18792,10764500.0,2024-05-08 09:54:43.614,0,0.0,0.0,6,6,6,6,39.2053,0,0.0,1,"[""checkout_apple_pay""]",6.894310482020663,1,6,0.4,0.1538461538461538,572164.0
18801,10766988.0,2024-05-11 00:47:57.719,0,0.0,0.0,7,1,1,1,32.7765,0,0.0,1,"[""checkout_credit_api""]",7.10925,1,5,0.0,0.0,99801.0
18803,10666737.0,2024-04-10 23:34:52.871,0,0.0,0.0,7,0,0,0,23.35,1,0.0,1,"[""checkout_apple_pay""]",9.991418818165917,1,4,0.0,1.0,21661.0
18812,10768599.0,2024-05-09 23:14:15.118,0,0.0,0.0,3,1,1,1,7.3537,0,0.01,1,"[""checkout_apple_pay""]",1.319673385728454,1,2,0.0,,49045.0
18820,10634393.0,2024-04-03 11:32:42.647,0,0.0,0.0,3,0,0,0,2.726,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,158.0
18821,10651174.0,2024-04-24 03:49:40.055,0,0.0,0.0,7,2,2,2,6.394,0,0.0,1,"[""checkout_credit_api""]",0.6660945878777279,1,9,0.0,,312454.0
18829,10636276.0,2024-04-07 02:27:19.892,0,0.0,0.0,4,1,1,1,4.61,0,0.02,1,"[""checkout_apple_pay""]",,1,2,0.0,,206.0
18833,10750490.0,2024-05-03 23:32:29.827,0,0.0,0.0,8,4,4,4,61.372,0,0.0,1,"[null,""checkout_credit_api""]",5.1678966137613775,1,7,3.0,0.5714285714285714,106965.0
18841,10669926.0,2024-04-13 03:56:59.657,0,0.0,0.0,3,0,0,0,2.726,0,,1,"[""checkout_credit_api""]",,1,2,,,577.0
18848,10752130.0,2024-05-06 13:53:56.419,0,0.0,0.0,20,2,2,2,3.668,0,0.0,1,"[""checkout_apple_pay""]",,1,6,0.0,0.0,257714.0
18849,10758180.0,2024-05-06 02:41:55.534,0,0.0,0.0,3,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,110.0
18853,10720997.0,2024-04-24 15:00:36.985,0,0.0,0.0,5,0,0,0,13.830000000000002,0,0.01,1,"[""checkout_apple_pay"",null]",2.525000990098816,1,2,0.0,0.5,698.0
18855,10205202.0,2024-04-19 02:48:58.452,0,0.0,0.0,31,1,1,1,18.74,0,0.01,1,"[""checkout_credit_api""]",,1,32,0.0,,410582.0
18864,10590385.0,2024-04-09 20:14:21.193,0,0.0,0.0,7,3,3,3,28.06,0,0.0,1,"[""checkout_credit_api""]",6.660945878777277,1,11,0.0,,133477.0
18877,10719667.0,2024-04-24 02:35:42.659,0,0.0,0.0,2,0,0,0,28.16,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,0.0
18879,10688070.0,2024-04-15 22:57:14.429,0,0.0,0.0,25,6,6,5,18.64,0,0.01,1,"[""checkout_apple_pay""]",0.0,1,5,0.0,0.0,213953.0
18888,10638929.0,2024-04-04 12:39:52.108,0,0.0,0.0,2,0,0,0,1.784,0,,1,"[""checkout_apple_pay""]",,1,1,,,0.0
18890,10627256.0,2024-04-01 21:56:06.747,0,0.0,0.0,6,2,2,2,4.61,1,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0909090909090909,442765.0
18891,10699992.0,2024-04-18 23:44:27.429,0,0.0,0.0,12,3,2,2,46.9,0,0.0,1,"[null,""checkout_apple_pay""]",14.33474566685204,1,4,0.0,0.0508474576271186,564154.0
18895,10671880.0,2024-04-11 23:04:27.199,0,0.0,0.0,4,0,0,0,9.32,0,0.04,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,524.0
18897,10591378.0,2024-04-04 18:46:38.069,0,0.0,0.0,2,1,1,1,9.32,0,0.02,1,"[""checkout_apple_pay""]",,1,2,0.0,,54950.0
18899,10596636.0,2024-04-25 01:54:36.062,0,0.0,0.0,65,9,5,4,84.27999999999999,1,0.0,2,"[null,""checkout_apple_pay"",""checkout_credit_api""]",4.82442144302164,1,11,2.0,0.0017605633802816,273624.0
18901,10748157.0,2024-05-03 00:22:48.615,0,0.0,0.0,10,1,1,1,62.314,0,0.0,1,"[""checkout_apple_pay""]",5.3510125009865455,1,2,0.0,0.0769230769230769,87338.0
18905,10724905.0,2024-04-25 19:52:43.204,0,0.0,0.0,3,1,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,11223.0
18906,10671050.0,2024-04-11 07:34:30.266,0,0.0,0.0,32,4,4,4,618.5360000000001,0,0.0,2,"[""checkout_apple_pay"",null,""checkout_credit_api""]",35.37673711353267,1,7,0.0,0.3533123028391167,217275.0
18907,10737003.0,2024-04-29 10:41:42.473,0,0.0,0.0,5,2,2,1,5.452,0,0.0,1,"[""checkout_apple_pay""]",1.3321891757554556,1,3,0.0,0.0,139184.0
18920,10656407.0,2024-04-08 03:55:03.145,0,0.0,0.0,15,2,2,2,9.26,0,0.0,1,"[""paypal_wallet_slave""]",,1,4,0.0,0.125,64135.0
18925,10625502.0,2024-04-01 12:46:45.862,0,0.0,0.0,2,5,5,5,37.18,0,0.0,1,"[""checkout_apple_pay""]",2.5797732458493323,1,4,0.1,0.0,391110.0
18952,10729999.0,2024-04-27 04:53:53.728,0,0.0,0.0,3,0,0,0,11.104,0,0.02,1,"[""checkout_apple_pay""]",5.328756703021822,1,1,0.0,,771.0
18954,10627519.0,2024-04-01 23:58:16.098,0,0.0,0.0,15,2,2,2,235.3,0,0.0,1,"[""checkout_apple_pay""]",33.30472939388638,1,4,0.0,0.0086505190311418,138605.0
18957,10634551.0,2024-04-08 08:35:35.446,0,0.0,0.0,21,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,1073.0
18960,10648653.0,2024-04-06 16:26:56.827,0,0.0,0.0,6,0,0,0,13.93,0,0.0,1,"[""checkout_apple_pay""]",3.330472939388639,1,1,0.1,0.0,753.0
18963,10732879.0,2024-04-28 02:39:05.049,0,0.0,0.0,17,3,3,2,27.86,0,0.0,1,"[""checkout_apple_pay""]",3.959389346856407,1,5,0.0,,152749.0
18964,10657445.0,2024-04-08 13:37:31.148,0,0.0,0.0,6,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,683.0
18965,10601554.0,2024-04-05 21:26:02.297,0,0.0,0.0,2,0,0,0,2.626,0,0.0,1,"[""checkout_apple_pay""]",0.6660945878777279,1,2,0.0,,0.0
18977,10681223.0,2024-04-23 09:12:05.475,0,0.0,0.0,2,1,1,1,0.842,0,0.02,1,"[""checkout_apple_pay""]",,1,3,0.1,,293491.0
18981,10657834.0,2024-04-08 16:32:04.987,0,0.0,0.0,8,0,0,0,18.74,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.4444444444444444,105488.0
18982,10689905.0,2024-04-16 02:53:22.973,0,0.0,0.0,6,1,1,1,14.03,0,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,258171.0
18985,10704404.0,2024-04-28 03:05:13.045,0,0.0,0.0,9,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,7,0.0,0.0,1783.0
18986,10725199.0,2024-04-27 23:18:42.516,0,0.0,0.0,11,3,2,2,23.25,0,0.0,1,"[null,""checkout_apple_pay""]",5.093708707808094,1,5,1.0,0.5,267662.0
18990,10569738.0,2024-04-08 01:52:19.000,0,0.0,0.0,21,0,0,0,9.26,0,0.0,1,"[""paypal_wallet_slave""]",,1,5,0.0,0.0,3748.0
18996,10734457.0,2024-05-02 06:02:23.255,0,0.0,0.0,3,0,0,0,0.842,0,0.06,1,"[""checkout_apple_pay""]",,1,4,0.0,,276805.0
18997,10756906.0,2024-05-05 20:50:47.889,0,0.0,0.0,2,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,615.0
19007,10215565.0,2024-04-10 19:25:36.284,0,0.0,0.0,19,1,1,1,18.74,1,0.0,1,"[""checkout_apple_pay""]",,1,21,0.0,,47994.0
19008,10068732.0,2024-05-07 10:00:06.599,0,0.0,0.0,8,2,2,2,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,521745.0
