,Payment Method,Minutes range,Payments,Paying users,Disputing users
2173,checkout_credit_api,24,42.906831999999994,4953,167
2174,checkout_credit_api,24,44.997683359999996,4862,166
2175,checkout_credit_api,24,46.550724799999955,4770,165
2176,checkout_credit_api,24,46.8,4707,164
2177,checkout_credit_api,24,47.0,4616,163
2178,checkout_credit_api,24,47.295,4361,157
2179,checkout_credit_api,24,48.4817392,4220,153
2180,checkout_credit_api,24,49.900748000000014,4128,145
2181,checkout_credit_api,24,51.327360000000006,4036,144
2182,checkout_credit_api,24,52.27855999999999,3944,143
2183,checkout_credit_api,24,55.05692079999997,3853,142
2184,checkout_credit_api,24,56.12,3766,139
2185,checkout_credit_api,24,56.22,3747,139
2186,checkout_credit_api,24,56.574,3597,138
2187,checkout_credit_api,24,58.946,3497,135
2188,checkout_credit_api,24,60.73,3399,135
2189,checkout_credit_api,24,62.61399999999999,3304,132
2190,checkout_credit_api,24,65.44,3217,129
2191,checkout_credit_api,24,65.74,3175,128
2192,checkout_credit_api,24,67.46949920000006,3027,125
2193,checkout_credit_api,24,70.25,2936,124
2194,checkout_credit_api,24,74.56,2846,123
2195,checkout_credit_api,24,75.06,2762,122
2196,checkout_credit_api,24,77.995064,2660,120
2197,checkout_credit_api,24,81.454,2570,117
2198,checkout_credit_api,24,84.47999999999999,2483,115
2199,checkout_credit_api,24,86.43457599999998,2385,113
2200,checkout_credit_api,24,91.31599999999999,2294,110
2201,checkout_credit_api,24,93.93337848000002,2202,107
2202,checkout_credit_api,24,94.1,2146,105
2203,checkout_credit_api,24,94.69,2036,101
2204,checkout_credit_api,24,98.30999999999999,1929,97
2205,checkout_credit_api,24,103.16800000000003,1835,91
2206,checkout_credit_api,24,106.59454400000004,1743,87
2207,checkout_credit_api,24,112.74,1652,84
2208,checkout_credit_api,24,116.7237391999999,1560,79
2209,checkout_credit_api,24,123.20543999999998,1468,76
2210,checkout_credit_api,24,133.4880639999999,1376,70
2211,checkout_credit_api,24,141.1,1298,69
2212,checkout_credit_api,24,149.9166088,1193,65
2213,checkout_credit_api,24,159.74,1112,57
2214,checkout_credit_api,24,172.0932464,1009,56
2215,checkout_credit_api,24,188.0,923,52
2216,checkout_credit_api,24,193.37457092000022,826,48
2217,checkout_credit_api,24,210.97009199999994,734,43
2218,checkout_credit_api,24,235.0,644,41
2219,checkout_credit_api,24,262.8667880000001,551,36
2220,checkout_credit_api,24,292.1675999999995,459,33
2221,checkout_credit_api,24,344.67047696000003,367,27
2222,checkout_credit_api,24,401.08006400000033,276,23
2223,checkout_credit_api,24,499.1559199999997,184,20
2224,checkout_credit_api,24,726.5513160000038,92,13
2225,checkout_credit_api,24,8255.209999999997,1,1
1482,paypal_wallet_slave,24,20.019999999999996,10708,429
1483,paypal_wallet_slave,24,20.43,10624,427
1484,paypal_wallet_slave,24,20.79,10495,426
1485,paypal_wallet_slave,24,21.09,10439,426
1486,paypal_wallet_slave,24,21.39,10295,423
1487,paypal_wallet_slave,24,21.439999999999998,10176,423
1488,paypal_wallet_slave,24,22.0626,10065,419
1489,paypal_wallet_slave,24,22.689999999999998,9960,417
1490,paypal_wallet_slave,24,23.0,9875,417
1491,paypal_wallet_slave,24,23.299999999999997,9642,411
1492,paypal_wallet_slave,24,23.3,9595,411
1493,paypal_wallet_slave,24,24.078027800000005,9316,406
1494,paypal_wallet_slave,24,24.91,9233,401
1495,paypal_wallet_slave,24,25.57,9116,395
1496,paypal_wallet_slave,24,26.22,8995,392
1497,paypal_wallet_slave,24,27.4719,8887,388
1498,paypal_wallet_slave,24,27.78,8805,385
1499,paypal_wallet_slave,24,28.07,8584,382
1500,paypal_wallet_slave,24,28.08,8548,382
1501,paypal_wallet_slave,24,28.38,8256,376
1502,paypal_wallet_slave,24,28.490000000000002,8139,373
1503,paypal_wallet_slave,24,29.6775,8031,371
1504,paypal_wallet_slave,24,30.4642,7924,367
1505,paypal_wallet_slave,24,31.528,7818,363
1506,paypal_wallet_slave,24,32.26,7736,358
1507,paypal_wallet_slave,24,32.56,7643,357
1508,paypal_wallet_slave,24,32.86,7533,357
1509,paypal_wallet_slave,24,33.57,7389,355
1510,paypal_wallet_slave,24,35.12,7283,353
1511,paypal_wallet_slave,24,36.38,7183,351
1512,paypal_wallet_slave,24,37.040000000000006,7068,348
1513,paypal_wallet_slave,24,37.39,6962,344
1514,paypal_wallet_slave,24,37.64,6878,342
1515,paypal_wallet_slave,24,39.25,6322,333
1516,paypal_wallet_slave,24,40.21,6239,329
1517,paypal_wallet_slave,24,41.570100000000004,6103,323
1518,paypal_wallet_slave,24,42.12,6020,322
1519,paypal_wallet_slave,24,43.73,5890,315
1520,paypal_wallet_slave,24,45.64,5788,313
1521,paypal_wallet_slave,24,46.6,5687,311
1522,paypal_wallet_slave,24,46.9,5626,311
1523,paypal_wallet_slave,24,47.22150000000001,5461,304
1524,paypal_wallet_slave,24,47.5,5439,304
1525,paypal_wallet_slave,24,47.60000000000001,5140,293
1526,paypal_wallet_slave,24,49.47,5041,290
1527,paypal_wallet_slave,24,51.00340000000002,4926,285
1528,paypal_wallet_slave,24,51.68,4829,279
1529,paypal_wallet_slave,24,53.89,4715,274
1530,paypal_wallet_slave,24,55.86,4610,273
1531,paypal_wallet_slave,24,56.46,4516,273
1532,paypal_wallet_slave,24,58.26599999999999,4283,267
1533,paypal_wallet_slave,24,60.64269999999999,4176,265
1534,paypal_wallet_slave,24,62.604760000000006,4069,263
1535,paypal_wallet_slave,24,65.49869999999999,3962,260
1536,paypal_wallet_slave,24,66.32,3870,258
1537,paypal_wallet_slave,24,66.68,3749,255
1538,paypal_wallet_slave,24,70.5,3645,254
1539,paypal_wallet_slave,24,74.67,3535,252
1540,paypal_wallet_slave,24,75.33760000000001,3427,248
1541,paypal_wallet_slave,24,79.3264813999998,3320,245
1542,paypal_wallet_slave,24,84.23899999999998,3213,238
1543,paypal_wallet_slave,24,85.14,3139,235
1544,paypal_wallet_slave,24,87.406,3001,223
1545,paypal_wallet_slave,24,91.60744379999994,2891,218
1546,paypal_wallet_slave,24,94.5,2792,217
1547,paypal_wallet_slave,24,95.3,2679,216
1548,paypal_wallet_slave,24,97.87,2464,205
1549,paypal_wallet_slave,24,103.0897336,2356,202
1550,paypal_wallet_slave,24,105.88146000000005,2249,192
1551,paypal_wallet_slave,24,112.62634800000001,2142,187
1552,paypal_wallet_slave,24,114.12,2060,181
1553,paypal_wallet_slave,24,122.77999999999999,1928,172
1554,paypal_wallet_slave,24,131.74,1822,165
1555,paypal_wallet_slave,24,139.95519999999996,1714,158
1556,paypal_wallet_slave,24,144.91249999999985,1607,154
1557,paypal_wallet_slave,24,155.12380000000007,1499,145
1558,paypal_wallet_slave,24,168.36222780000003,1392,142
1559,paypal_wallet_slave,24,183.5085744,1285,135
1560,paypal_wallet_slave,24,190.6,1205,133
1561,paypal_wallet_slave,24,205.79300000000032,1071,122
1562,paypal_wallet_slave,24,225.65136540000017,964,112
1563,paypal_wallet_slave,24,251.75160000000005,857,107
1564,paypal_wallet_slave,24,284.86770000000007,750,99
1565,paypal_wallet_slave,24,312.77412,643,89
1566,paypal_wallet_slave,24,364.3879999999998,536,79
1567,paypal_wallet_slave,24,430.2551999999997,429,75
1568,paypal_wallet_slave,24,495.79399999999947,322,45
1569,paypal_wallet_slave,24,653.3772800000014,215,34
1570,paypal_wallet_slave,24,972.0200000000029,108,22
1571,paypal_wallet_slave,24,8255.209999999997,1,1
274,General,48,20.003999999999998,45001,971
275,General,48,20.424,44650,964
276,General,48,20.766,44101,958
277,General,48,21.266000000000002,43668,954
278,General,48,21.39,43281,952
279,General,48,21.465999999999998,43094,950
280,General,48,22.108,42340,942
281,General,48,22.508,41872,936
282,General,48,23.05,41433,929
283,General,48,23.25,41083,923
284,General,48,23.349999999999998,40169,911
285,General,48,23.3975,39625,909
286,General,48,23.992,39169,900
287,General,48,24.96,38702,891
288,General,48,25.57,38271,882
289,General,48,26.075999999999997,37818,877
290,General,48,26.918,37351,870
291,General,48,27.76,36918,865
292,General,48,27.93,36455,862
293,General,48,27.96,36350,860
294,General,48,28.06,35855,854
295,General,48,28.08,35144,845
296,General,48,28.223,34658,836
297,General,48,28.602,34209,832
298,General,48,29.69,33753,825
299,General,48,30.586,33316,820
300,General,48,30.985300000000002,32852,814
301,General,48,32.26,32444,804
302,General,48,32.57,32088,800
303,General,48,32.769999999999996,31505,793
304,General,48,32.9765,31058,789
305,General,48,34.354,30619,785
306,General,48,35.396,30194,777
307,General,48,36.52800000000002,29700,772
308,General,48,37.28,29312,769
309,General,48,37.416000000000004,28801,762
310,General,48,37.48,28771,762
311,General,48,37.64,27689,756
312,General,48,37.822,27003,752
313,General,48,39.164,26556,744
