Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day > 14 & paying_matuirity > 14 & payments > 1,69.0,spent_to_date > 781.49,win_amount_last_7d > 2912.89,max_payment ≤ 149.995,max_payment > 70.495,,0.08695652173913043,161.0,14.0,4.656950513103386e-05,0.0049,0.00106,0.156
maturity_day > 14 & paying_matuirity < 14 & payments > 1,19.0,win_amount_last_7d > 514.22,payments_last_14d > 24.5,,,,0.08653846153846154,104.0,9.0,3.0082164805139887e-05,0.005,0.00068,0.157
maturity_day > 14 & paying_matuirity > 14 & payments > 1,60.0,win_amount_last_14d > 179.56,max_payment > 47.495,local_time_12_to_18 > 12833.5,daily_games_first_1d ≤ 978.775,,0.08602150537634409,93.0,8.0,2.6900397373827013e-05,0.005,0.0006,0.158
maturity_day > 14 & paying_matuirity > 14 & payments > 1,65.0,spent_last_7d > 45.5,payments_last_7d > 49.5,local_time_12_to_18 > 21217.0,,,0.0859375,128.0,11.0,3.702420283709524e-05,0.005,0.00083,0.159
maturity_day > 14 & paying_matuirity > 14 & payments > 1,72.0,spent_to_date > 1056.995,payments_to_date > 341.0,local_time_6_to_12 > 35384.0,,,0.08571428571428572,105.0,9.0,3.037141638980469e-05,0.0051,0.00068,0.159
maturity_day > 14 & paying_matuirity > 14 & payments > 1,58.0,win_amount_last_14d > 172.405,max_daily_spent > 214.985,local_time_12_to_18 > 12631.5,max_bet ≤ 7.45,,0.08571428571428572,105.0,9.0,3.037141638980469e-05,0.0051,0.00068,0.16
maturity_day > 14 & paying_matuirity > 14 & payments > 1,37.0,payments_last_14d > 16.5,spent_last_14d ≤ 3341.0,payments_last_7d ≤ 36.5,minutes_to_play > 4.5,local_time_12_to_18 > 6205.0,0.0851063829787234,94.0,8.0,2.718964895849182e-05,0.0051,0.0006,0.16
maturity_day > 14 & paying_matuirity > 14 & payments > 1,74.0,max_daily_spent > 324.995,max_games_daily_games > 4784.0,payments_last_14d > 66.0,,,0.08461538461538462,130.0,11.0,3.7602706006424855e-05,0.0051,0.00083,0.161
maturity_day > 14 & paying_matuirity > 14 & payments > 1,36.0,payments_last_14d > 15.5,max_daily_spent > 303.0,max_daily_spent ≤ 1626.49,spent_to_date > 1907.46,payments_to_date > 209.0,0.08450704225352113,142.0,12.0,4.107372502240253e-05,0.0052,0.00091,0.162
maturity_day > 14 & paying_matuirity > 14 & payments > 1,62.0,spent_to_date > 701.495,payments_last_7d ≤ 92.5,local_time_12_to_18 > 12240.0,bet_money_to_date ≤ 79126.801,max_daily_spent > 427.5,0.08441558441558442,154.0,13.0,4.4544744038380216e-05,0.0052,0.00098,0.163
